Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Africa,ZAF,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,51.161,51.514,51.86,52.208,52.566,52.941,53.34,53.763,54.208,54.678,55.172,55.69,56.228,56.779,57.337,57.893,58.437,58.966,59.479,59.979,60.478,60.994,61.536,62.108,62.705,63.331,63.991,64.663,65.31,65.89,66.342,66.602,66.637,66.426,65.967,65.246,64.266,63.087,61.793,60.462,59.185,58.04,57.087,56.382,55.974,55.927,56.281,56.994,57.995,59.218,60.565,61.935,63.236,64.394,65.359,66.108,66.654,67.064,67.398,67.679
South Africa,ZAF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.876,46.257,46.634,47.014,47.406,47.817,48.253,48.713,49.196,49.703,50.234,50.789,51.362,51.947,52.537,53.126,53.704,54.267,54.815,55.347,55.874,56.412,56.969,57.541,58.115,58.677,59.211,59.69,60.081,60.356,60.472,60.392,60.109,59.634,58.983,58.171,57.218,56.177,55.11,54.077,53.14,52.344,51.715,51.278,51.061,51.104,51.439,52.038,52.853,53.833,54.906,55.993,57.027,57.951,58.728,59.342,59.803,60.162,60.463,60.726
